DealID,CustomerID,SalespersonID,InterestedVehicleClass,BudgetRange,Status,UrgencyLevel,HealthScore,LowerBenchmark,UpperBenchmark,InteractionCount,StartDate,LastContactDate,PointOfFailure,IntendedPurchaseTimeframe,IntendedPurchaseJourney,PastInquiryHistory,PreferredCommunication,HomeLocation,LeadSource,LoyaltyStatus,AgeGroup,Gender,Profession,CustomerSegment,DealStageHistory,AssignedBranch,ClosingDate,DealNotes,FollowUpRequired,DiscountOffered,ReEngagementAttempted
D0001,CUST0013,SALESP084,SUV,"$31,122-$50,871",fail,High,41,53,84,10,2025-03-27,2025-04-30,price,1-3 months,compare deals,"Looked at 2021 Camry, went with competitor",email,"San Jose, CA",OEM feed,new customer,18-25,Male,Operations Manager,first-time,"[[""lead"", ""2025-03-27""], [""contacted"", ""2025-03-29""], [""appointment"", ""2025-04-01""], [""proposal"", ""2025-04-03""], [""negotiation"", ""2025-04-10""], [""lost"", ""2025-04-30""]]",North Branch,,Customer wanted larger discount than we could offer,yes,$0,pending
D0002,CUST0502,SALESP066,used,"$15,646-$25,064",pass,Low,84,42,75,4,2025-07-31,2025-09-04,,just exploring,compare deals,No prior history,text,"Various, USA",OEM feed,new customer,36-50,Male,Not specified,price-sensitive,"[[""lead"", ""2025-07-31""], [""contacted"", ""2025-08-03""], [""appointment"", ""2025-08-06""], [""proposal"", ""2025-08-08""], [""negotiation"", ""2025-08-14""], [""sold"", ""2025-08-18""]]",North Branch,2025-09-04,Financing approved quickly,no,"$1,385",no
D0003,CUST0367,SALESP036,sports,"$54,420-$90,461",pass,High,86,57,70,2,2025-03-06,2025-03-29,,<1 month,finance inquiry,"Looked at 2022 Corolla, still considering",call,"Nashville, TN",OEM feed,new customer,51-65,Female,Pharmacist,luxury,"[[""lead"", ""2025-03-06""], [""contacted"", ""2025-03-08""], [""appointment"", ""2025-03-09""], [""proposal"", ""2025-03-10""], [""negotiation"", ""2025-03-12""], [""sold"", ""2025-03-14""]]",North Branch,2025-03-29,Trade-in processed successfully,no,"$2,878",no
D0004,CUST0262,SALESP020,sports,"$50,787-$88,057",pass,High,87,46,66,5,2025-08-02,2025-08-30,,<1 month,research,"Looked at 2021 Accord, purchased",email,"Las Vegas, NV",OEM feed,in-service customer,36-50,Male,Designer,loyal,"[[""lead"", ""2025-08-02""], [""contacted"", ""2025-08-03""], [""appointment"", ""2025-08-04""], [""proposal"", ""2025-08-06""], [""negotiation"", ""2025-08-08""], [""sold"", ""2025-08-09""]]",Airport,2025-08-30,Added extended warranty package,no,"$1,051",no
D0005,CUST0004,SALESP018,EV,"$53,250-$66,848",pass,High,89,54,74,5,2025-06-27,2025-07-05,,<1 month,research,"Looked at 2022 RAV4, did not purchase",email,"San Diego, CA",web,new customer,26-35,Male,Chef,price-sensitive,"[[""lead"", ""2025-06-27""], [""contacted"", ""2025-06-29""], [""appointment"", ""2025-06-30""], [""proposal"", ""2025-07-02""], [""negotiation"", ""2025-07-03""], [""sold"", ""2025-07-05""]]",North Branch,2025-07-05,Added extended warranty package,no,"$1,942",no
D0006,CUST0451,SALESP055,SUV,"$39,180-$54,870",pass,Medium,72,60,67,5,2025-03-19,2025-04-17,,1-3 months,compare deals,"Looked at 2022 CR-V, did not purchase",call,"Oklahoma City, OK",web,new customer,51-65,Female,Sales Manager,price-sensitive,"[[""lead"", ""2025-03-19""], [""contacted"", ""2025-03-21""], [""appointment"", ""2025-03-28""], [""proposal"", ""2025-04-01""], [""negotiation"", ""2025-04-07""], [""sold"", ""2025-04-09""]]",South Branch,2025-04-17,"Smooth transaction, customer very satisfied",no,$539,no
D0007,CUST0359,SALESP022,used,"$17,575-$25,485",pass,Medium,92,53,65,5,2025-09-05,2025-11-12,,1-3 months,compare deals,"Looked at 2021 F-150, still considering",email,"Las Vegas, NV",walk-in,in-service customer,18-25,Male,Marketing Manager,price-sensitive,"[[""lead"", ""2025-09-05""], [""contacted"", ""2025-09-08""], [""appointment"", ""2025-09-12""], [""proposal"", ""2025-09-17""], [""negotiation"", ""2025-09-20""], [""sold"", ""2025-09-23""]]",Airport,2025-11-12,Upgraded to higher trim level,no,"$1,559",no
D0008,CUST0508,SALESP050,SUV,"$33,633-$47,941",fail,Medium,38,60,78,11,2025-02-13,2025-02-27,credit,just exploring,research,No prior history,WhatsApp,"Various, USA",walk-in,in-service customer,26-35,Male,Not specified,price-sensitive,"[[""lead"", ""2025-02-13""], [""contacted"", ""2025-02-16""], [""appointment"", ""2025-02-21""], [""lost"", ""2025-02-27""]]",Main Street,,"Credit application denied, unable to secure financing",yes,"$1,927",pending
D0009,CUST0064,SALESP011,EV,"$37,502-$55,865",pass,Medium,67,50,74,4,2025-02-08,2025-03-16,,<1 month,book appointment,"Looked at 2020 Explorer, did not purchase",call,"Milwaukee, WI",web,in-service customer,36-50,Male,Business Analyst,loyal,"[[""lead"", ""2025-02-08""], [""contacted"", ""2025-02-11""], [""appointment"", ""2025-02-18""], [""proposal"", ""2025-02-22""], [""negotiation"", ""2025-02-28""], [""sold"", ""2025-03-04""]]",South Branch,2025-03-16,Customer appreciated responsive service,no,"$1,478",no
D0010,CUST0221,SALESP096,sedan,"$27,171-$40,817",pass,Medium,82,47,73,7,2025-12-14,2026-01-05,,1-3 months,research,"Looked at 2023 Model 3, did not purchase",call,"San Jose, CA",web,in-service customer,36-50,Male,Small Business Owner,loyal,"[[""lead"", ""2025-12-14""], [""contacted"", ""2025-12-17""], [""appointment"", ""2025-12-20""], [""proposal"", ""2025-12-25""], [""negotiation"", ""2025-12-28""], [""sold"", ""2026-01-02""]]",Main Street,2026-02-17,Upgraded to higher trim level,no,"$1,964",no
